,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
,open,high,low,close,volume,num_trds,value
2022-08-22 10:30:00-04:00,1535.34,1535.34,1535.1,1535.31,0,4,0.0
2022-08-22 10:31:00-04:00,1535.6,1535.6,1535.5,1535.5,0,4,0.0
2022-08-22 10:32:00-04:00,1535.37,1535.37,1535.22,1535.22,0,4,0.0
2022-08-22 10:33:00-04:00,1535.1,1535.13,1534.98,1534.98,0,4,0.0
2022-08-22 10:34:00-04:00,1534.98,1534.98,1534.68,1534.81,0,4,0.0
2022-08-22 10:35:00-04:00,1534.93,1534.95,1534.52,1534.52,0,4,0.0
2022-08-22 10:36:00-04:00,1534.35,1534.35,1533.95,1534.04,0,4,0.0
2022-08-22 10:37:00-04:00,1534.18,1534.18,1534.11,1534.14,0,4,0.0
2022-08-22 10:38:00-04:00,1534.14,1534.24,1534.14,1534.19,0,4,0.0
2022-08-22 10:39:00-04:00,1534.28,1534.28,1533.87,1533.87,0,4,0.0
2022-08-22 10:40:00-04:00,1533.72,1533.98,1533.72,1533.98,0,4,0.0
2022-08-22 10:41:00-04:00,1534.22,1534.41,1534.22,1534.41,0,4,0.0
2022-08-22 10:42:00-04:00,1534.71,1534.71,1534.61,1534.64,0,4,0.0
2022-08-22 10:43:00-04:00,1534.7,1535.12,1534.7,1535.12,0,4,0.0
2022-08-22 10:44:00-04:00,1534.99,1534.99,1534.73,1534.73,0,4,0.0
2022-08-22 10:45:00-04:00,1534.67,1535.02,1534.67,1535.02,0,4,0.0
2022-08-22 10:46:00-04:00,1534.83,1534.83,1534.46,1534.46,0,4,0.0
2022-08-22 10:47:00-04:00,1534.42,1534.42,1534.16,1534.16,0,4,0.0
2022-08-22 10:48:00-04:00,1534.07,1534.16,1534.05,1534.16,0,4,0.0
2022-08-22 10:49:00-04:00,1534.11,1534.17,1534.08,1534.17,0,4,0.0
2022-08-22 10:50:00-04:00,1534.14,1534.14,1533.61,1533.61,0,4,0.0
2022-08-22 10:51:00-04:00,1533.59,1533.59,1532.92,1532.92,0,4,0.0
2022-08-22 10:52:00-04:00,1532.83,1532.83,1532.42,1532.54,0,4,0.0
2022-08-22 10:53:00-04:00,1532.47,1532.47,1532.37,1532.37,0,4,0.0
2022-08-22 10:54:00-04:00,1532.23,1532.26,1532.13,1532.26,0,4,0.0
2022-08-22 10:55:00-04:00,1532.29,1532.29,1532.1,1532.1,0,4,0.0
2022-08-22 10:56:00-04:00,1532.07,1532.13,1531.83,1531.83,0,4,0.0
2022-08-22 10:57:00-04:00,1531.84,1531.9,1531.81,1531.89,0,4,0.0
2022-08-22 10:58:00-04:00,1531.9,1532.0,1531.86,1531.95,0,4,0.0
2022-08-22 10:59:00-04:00,1531.88,1531.88,1531.57,1531.57,0,4,0.0
2022-08-22 11:00:00-04:00,1531.63,1531.63,1531.46,1531.46,0,4,0.0
2022-08-22 11:01:00-04:00,1531.37,1531.61,1531.36,1531.61,0,4,0.0
2022-08-22 11:02:00-04:00,1531.66,1532.27,1531.66,1532.27,0,4,0.0
2022-08-22 11:03:00-04:00,1532.29,1532.5,1532.29,1532.5,0,4,0.0
2022-08-22 11:04:00-04:00,1532.4,1532.4,1532.25,1532.26,0,4,0.0
2022-08-22 11:05:00-04:00,1532.52,1532.84,1532.52,1532.83,0,4,0.0
2022-08-22 11:06:00-04:00,1532.77,1532.82,1532.77,1532.79,0,4,0.0
2022-08-22 11:07:00-04:00,1532.76,1532.83,1532.59,1532.59,0,4,0.0
2022-08-22 11:08:00-04:00,1532.57,1532.63,1532.5,1532.5,0,4,0.0
2022-08-22 11:09:00-04:00,1532.53,1532.7,1532.53,1532.6,0,4,0.0
2022-08-22 11:10:00-04:00,1532.68,1532.68,1532.6,1532.6,0,4,0.0
2022-08-22 11:11:00-04:00,1532.6,1532.75,1532.6,1532.67,0,4,0.0
2022-08-22 11:12:00-04:00,1532.54,1532.93,1532.52,1532.93,0,4,0.0
2022-08-22 11:13:00-04:00,1533.12,1533.35,1533.07,1533.35,0,4,0.0
2022-08-22 11:14:00-04:00,1533.36,1533.68,1533.36,1533.68,0,4,0.0
2022-08-22 11:15:00-04:00,1533.66,1533.98,1533.64,1533.98,0,4,0.0
2022-08-22 11:16:00-04:00,1533.99,1534.3,1533.99,1534.3,0,4,0.0
2022-08-22 11:17:00-04:00,1534.49,1534.54,1534.49,1534.52,0,4,0.0
2022-08-22 11:18:00-04:00,1534.5,1534.8,1534.5,1534.8,0,4,0.0
2022-08-22 11:19:00-04:00,1534.79,1534.82,1534.76,1534.76,0,4,0.0
2022-08-22 11:20:00-04:00,1534.69,1534.79,1534.69,1534.75,0,4,0.0
2022-08-22 11:21:00-04:00,1534.46,1534.46,1534.37,1534.44,0,4,0.0
2022-08-22 11:22:00-04:00,1534.45,1534.45,1534.29,1534.34,0,4,0.0
2022-08-22 11:23:00-04:00,1534.45,1534.47,1534.26,1534.26,0,4,0.0
2022-08-22 11:24:00-04:00,1534.28,1534.28,1533.92,1533.92,0,4,0.0
2022-08-22 11:25:00-04:00,1533.9,1533.95,1533.86,1533.95,0,4,0.0
2022-08-22 11:26:00-04:00,1534.12,1534.12,1533.87,1533.87,0,4,0.0
2022-08-22 11:27:00-04:00,1533.86,1533.86,1533.46,1533.46,0,4,0.0
2022-08-22 11:28:00-04:00,1533.47,1533.84,1533.47,1533.82,0,4,0.0
2022-08-22 11:29:00-04:00,1533.88,1533.88,1533.57,1533.57,0,4,0.0
2022-08-22 11:30:00-04:00,1533.46,1533.46,1533.24,1533.24,0,4,0.0
2022-08-22 11:31:00-04:00,1533.27,1533.27,1533.12,1533.21,0,4,0.0
2022-08-22 11:32:00-04:00,1533.31,1533.31,1533.1,1533.1,0,4,0.0
2022-08-22 11:33:00-04:00,1533.13,1533.2,1533.13,1533.18,0,4,0.0
2022-08-22 11:34:00-04:00,1533.28,1533.36,1533.21,1533.36,0,4,0.0
2022-08-22 11:35:00-04:00,1533.46,1533.65,1533.46,1533.65,0,4,0.0
